subject,Ac1,Pa1,Ac2,Pa2,Ac3,Pa3,Ac4,Pa4,Ac5,Pa5,Ac6,Pa6
1,23,15,17,18,19,20,23,19,19,20,19,18
2,20,21,24,18,20,22,21,20,19,22,23,19
3,23,18,20,22,21,17,20,21,20,20,19,23
4,20,22,23,19,20,22,19,23,24,18,20,22
5,19,20,20,21,20,20,24,16,19,21,20,19
6,24,18,20,22,18,20,20,19,23,18,17,22
7,20,18,20,22,24,18,23,19,20,22,19,23
8,17,21,19,20,22,18,18,22,20,22,23,18
9,18,17,19,22,20,22,23,19,20,19,24,18
10,24,17,21,21,19,23,20,22,23,19,20,21
11,18,20,20,21,18,21,22,18,24,17,18,22
12,19,22,20,20,22,17,20,22,23,19,20,22
13,17,20,22,17,20,14,14,20,18,18,19,21
14,17,18,19,20,17,19,19,21,22,18,23,17
15,24,16,19,22,20,18,20,19,22,19,20,20
16,20,19,20,22,19,22,23,19,23,17,20,21
17,18,22,20,20,20,17,20,19,18,19,17,15
18,21,18,19,21,20,19,20,18,19,20,21,16
19,20,19,19,21,20,21,22,20,20,22,20,21
20,20,21,17,22,22,14,20,21,18,21,21,17
21,20,22,24,18,19,22,20,22,20,22,23,19
22,19,18,18,21,17,18,21,19,21,17,19,22
23,20,21,24,18,23,19,20,22,22,19,20,22
24,24,18,23,19,19,22,18,21,17,21,19,22
25,21,16,20,22,23,17,20,22,20,22,20,22
26,24,18,19,21,19,21,19,19,20,18,20,18
27,20,20,20,21,23,18,19,23,20,21,24,17
28,18,18,20,17,21,18,20,20,20,21,22,19
29,23,19,20,21,19,23,19,22,24,18,20,22
30,20,16,19,17,20,15,20,13,20,12,20,14
31,17,21,18,22,23,15,19,21,23,19,20,21
32,20,19,19,22,23,14,20,21,19,19,23,18
33,16,21,18,19,19,17,20,18,19,21,20,18
34,19,21,19,22,23,18,20,19,19,22,24,18
35,20,22,24,17,20,22,19,23,19,22,23,19
36,20,17,19,20,20,16,19,18,17,19,18,18
37,20,18,23,16,16,18,17,20,18,19,19,21
38,18,8,18,10,20,17,24,17,21,17,19,21
39,18,22,19,23,22,19,19,22,19,22,25,17
40,21,17,20,21,20,21,18,18,19,21,24,17
